Component,Change
Detection algorithm,1
Classification algorithm,1
Belt sub-system,2
Image processing server,2
Detection algorithm,3
Classification algorithm,3
Power sub-system,4
Camera module,5
Belt sub-system,6
Structure,6
Power sub-system,6
Structure,7
Power sub-system,7
Microcomputer,7
Image processing server,7
Lighting module,7
Control panel,8



