Component,Change
Battery,1
PMIC,1
Wireless charger,1
PCB,2
Wireless Charger,3
Battery,3
PMIC,3
Software application,4
Data storage and processing server,4
Battery,5
PCB,5
Aluminium housing,5
Watch strap,5
Software Application,6
PCB,6
PCB,7
PCB,8
Software application,8
Wireless charger,9
